ROTATION,DATE,TTL ROTN CRED,DOM TAFB,INTL TAFB,FLT PAY,NIGHT PAY,INTL PAY,LANG PAY,LAYOVER STN,LAYOVER TIME,LAYOVER HOTEL,LEG STATUS,FLT #,EQUIP,DEPT DATE,DEPT,DEPT TIME,ARRV,ARRV TIME,LEG BLOCK TIME
5887,12Feb2016,294,390,0,294,0,0,0,,0,,,2318,32K,12Feb2016,MSP,694,BZN,780,158
5887,12Feb2016,294,390,0,294,0,0,0,,0,,D,2318,32K,12Feb2016,BZN,834,MSP,1010,136
5853,13Feb2016,543,668,0,543,0,543,0,,0,,,728,31J,13Feb2016,MSP,553,ZLO,804,282
5853,13Feb2016,543,668,0,543,0,543,0,,0,,,745,31J,13Feb2016,ZLO,871,MSP,1132,261
2417,14Feb2016,524,655,0,524,0,524,0,,0,,,519,32K,14Feb2016,MSP,619,CUN,912,245
2417,14Feb2016,524,655,0,524,0,524,0,,0,,,520,32K,14Feb2016,CUN,970,MSP,1189,279
2435,19Feb2016,426,551,0,426,0,0,0,,0,,,1147,75Y,19Feb2016,MSP,782,RSW,1023,203
2435,19Feb2016,426,551,0,426,0,0,0,,0,,,1147,75Y,19Feb2016,RSW,1108,MSP,1261,223
2416,20Feb2016,517,664,0,517,0,517,0,,0,,,791,739,20Feb2016,MSP,618,PVR,873,271
2416,20Feb2016,517,664,0,517,0,517,0,,0,,,594,739,20Feb2016,PVR,955,MSP,1194,246
2441,26Feb2016,484,601,0,484,0,484,0,,0,,,705,320,26Feb2016,MSP,790,CUN,1072,235
2441,26Feb2016,484,601,0,484,0,484,0,,0,,,702,320,26Feb2016,CUN,1135,MSP,1306,249
670,29Feb2016,324,426,0,324,0,0,0,,0,,,674,75Y,29Feb2016,MSP,983,ATL,1187,152
